Region,district,Date,visitors
Domestic,Nirmal,01-03-17,442057
Domestic,Nirmal,01-04-17,274132
Domestic,Nirmal,01-05-17,297233
Domestic,Nirmal,01-06-17,340359
Domestic,Nirmal,01-07-17,328101
Domestic,Nirmal,01-08-17,340430
Domestic,Nirmal,01-09-17,528540
Domestic,Nirmal,01-10-17,388644
Domestic,Nirmal,01-11-17,369365
Domestic,Nirmal,01-12-17,340585
Domestic,Nizamabad,01-01-17,613
Domestic,Nizamabad,01-02-17,1752
Domestic,Nizamabad,01-03-17,660
Domestic,Nizamabad,01-04-17,1048
Domestic,Nizamabad,01-05-17,1341
Domestic,Nizamabad,01-06-17,2391
Domestic,Nizamabad,01-07-17,1520
Domestic,Nizamabad,01-08-17,1583
Domestic,Nizamabad,01-09-17,933
Domestic,Nizamabad,01-10-17,6644
Domestic,Nizamabad,01-11-17,1677
Domestic,Nizamabad,01-12-17,1787
Domestic,Peddapalli,01-01-17,1345
Domestic,Peddapalli,01-02-17,1378
Domestic,Peddapalli,01-03-17,965
Domestic,Peddapalli,01-04-17,750
Domestic,Peddapalli,01-05-17,640
Domestic,Peddapalli,01-06-17,885
Domestic,Peddapalli,01-07-17,1095
Domestic,Peddapalli,01-08-17,1385
Domestic,Peddapalli,01-09-17,1155
Domestic,Peddapalli,01-10-17,1595
Domestic,Peddapalli,01-11-17,1940
Domestic,Peddapalli,01-12-17,1765
Domestic,Rajanna Sircilla ,01-01-17,615842
Domestic,Rajanna Sircilla ,01-02-17,1255569
Domestic,Rajanna Sircilla ,01-03-17,1030441
Domestic,Rajanna Sircilla ,01-04-17,1146782
Domestic,Rajanna Sircilla ,01-05-17,1117228
Domestic,Rajanna Sircilla ,01-06-17,1113882
Domestic,Rajanna Sircilla ,01-07-17,462022
Domestic,Rajanna Sircilla ,01-08-17,1004410
Domestic,Rajanna Sircilla ,01-09-17,487060
Domestic,Rajanna Sircilla ,01-10-17,845620
Domestic,Rajanna Sircilla ,01-11-17,1191129
Domestic,Rajanna Sircilla ,01-12-17,1649362
Domestic,Ranga Reddy,01-01-17,
Domestic,Ranga Reddy,01-02-17,
Domestic,Ranga Reddy,01-03-17,
